"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"ACSWR"|"1.0"|NA|NA|"MASS"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ACTCD"|"1.0-0"|NA|"R (>= 2.15.1), R.methodsS3"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ADDT"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ADGofTest"|"0.3"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ADM3"|"1.3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ADMMnet"|"0.1"|NA|"Matrix (>= 1.2-3)"|"Rcpp (>= 0.12.2)"|"Rcpp, RcppEigen"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ADPclust"|"0.6.5"|NA|"R (>= 3.0.0),"|"dplyr, cluster, fields, knitr"|NA|"rmarkdown"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AEDForecasting"|"0.20.0"|NA|"R (>= 3.1.2)"|"changepoint, forecast, signal"|NA|"R.rsp"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AER"|"1.2-4"|NA|"R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival (>=
2.37-5), zoo"|"stats, Formula (>= 0.2-0)"|NA|"boot, dynlm, effects, foreign, ineq, KernSmooth, lattice,
MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR,
sampleSelection, scatterplot3d, strucchange, systemfit, rgl,
truncreg, tseries, urca"|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AFLPsim"|"0.4-2"|NA|"R (>= 2.15.0)"|"adegenet, introgress"|NA|"R.rsp"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AFM"|"1.2.2"|NA|"R (>= 3.1.3)"|"data.table(>= 1.9.6),stringr(>= 1.0.0),gstat(>=
1.0-26),fractaldim(>= 0.8-4),rgl(>= 0.96),pracma(>=
1.8.6),fftwtools(>= 0.9-7),grid(>= 3.1.3),gridExtra(>=
2.0.0),moments(>= 0.14),ggplot2(>= 1.0.1),sp(>= 1.2-0),png(>=
0.1-7),plyr(>= 1.8.3), igraph(>= 1.0.1),methods(>= 3.1.3),
shiny(>= 0.12.2), shinyjs(>= 0.4.0), scales(>= 0.4.0),
dbscan(>= 0.9-8)"|NA|NA|NA|"AGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AF"|"0.1.2"|NA|"stats, base, graphics, survival, drgee, R (>= 3.0.0),
data.table"|NA|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AGD"|"0.35"|NA|"R (>= 2.10.0)"|"gamlss, gamlss.dist"|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AGSDest"|"2.3.1"|NA|NA|"stats, graphics, grDevices, ldbounds"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AHR"|"1.4.2"|NA|"survival"|"stats, MASS, etm, Rcpp"|"Rcpp, RcppArmadillo"|"testthat"|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AICcmodavg"|"2.0-4"|NA|"R (>= 3.0.0)"|"methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable"|NA|"betareg, coxme, fitdistrplus, lavaan, lme4, maxlike, nnet,
ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AID"|"1.6"|NA|"R (>= 3.2.5)"|"MASS, tseries, nortest, graphics, stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AIM"|"1.01"|NA|"survival"|"survival"|NA|NA|NA|"LGPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALDqr"|"0.5"|NA|"R (>= 2.15.0)"|"HyperbolicDist"|NA|NA|NA|"GPL (>= 3.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALKr"|"0.5.3.1"|NA|"R (>= 2.15.2)"|"MASS, methods, Rcpp (>= 0.10.2)"|"Rcpp"|NA|NA|"BSD_3_clause + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALSCPC"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALSM"|"0.1.0"|NA|"R (>= 3.0.0), stats, graphics, leaps"|NA|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALS"|"0.0.6"|NA|"nnls (>= 1.1), Iso, R (>= 2.10)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ALTopt"|"0.1.1"|NA|"R (>= 3.0.0)"|"cubature (>= 1.0), lattice (>= 0.20)"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AMAP.Seq"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AMCP"|"0.0.2"|NA|NA|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AMGET"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AMOEBA"|"1.1"|NA|"snowfall, rlecuyer, spdep"|NA|NA|"maptools, plotrix,"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AMORE"|"0.2-15"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ANLP"|"1.3"|NA|"tm,qdap,RWeka,dplyr, R (>= 2.10)"|NA|NA|"knitr, rmarkdown, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ANOM"|"0.4.3"|NA|"R (>= 3.0.0)"|"ggplot2, MCPAN, multcomp, nparcomp, SimComp"|NA|"knitr, lme4, nlme, sandwich"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"APSIMBatch"|"0.1.0.2374"|NA|NA|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"APSIM"|"0.9.0"|NA|NA|"data.table (>= 1.9.4), lubridate (>= 1.3.3), stringr (>=
0.6.2), plyr (>= 1.8.1), sirad, methods, utils, RSQLite"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"APtools"|"3.0"|NA|"survival, graphics, stats, utils"|NA|NA|NA|NA|"LGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AR1seg"|"1.0"|NA|"Segmentor3IsBack"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARCensReg"|"2.1"|NA|NA|"mvtnorm, tmvtnorm, msm, numDeriv, utils, graphics, stats"|NA|"SMNCensReg"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARPobservation"|"1.1"|NA|NA|NA|NA|"plyr, reshape2, ggplot2, knitr, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARTIVA"|"1.2.3"|NA|"MASS, igraph, gplots"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARTP2"|"0.9.30.1"|NA|"R (>= 2.10), Formula, data.table, stats, utils, parallel"|NA|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARTP"|"2.0.4"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ART"|"1.0"|NA|NA|"stats, car"|NA|NA|NA|"LGPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ARTool"|"0.10.2"|NA|"R (>= 3.2)"|"lme4, car (>= 2.0-24), plyr, magrittr, dplyr"|NA|"testthat (>= 0.10.0), lsmeans (>= 2.22), knitr, rmarkdown,
ggplot2, tidyr, pander, Cairo, DescTools"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ASMap"|"0.4-7"|NA|"R (>= 2.10), qtl, gtools, fields, RColorBrewer, lattice"|NA|NA|"knitr"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ASPBay"|"1.2"|NA|"hexbin, Rcpp"|NA|"Rcpp, RcppArmadillo"|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ASSISTant"|"1.2-3"|NA|NA|"R6, mvtnorm"|NA|"knitr, rmarkdown"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ATE"|"0.2.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ATmet"|"1.2"|NA|"R (>= 2.7.0), DiceDesign, lhs, metRology, msm, sensitivity"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AUCRF"|"1.1"|NA|"R (>= 2.11.0), randomForest"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AUC"|"0.3.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AUtests"|"0.98"|NA|"R (>= 3.1.2)"|"logistf"|NA|"knitr"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AbsFilterGSEA"|"1.5"|NA|"R (>= 3.3.1)"|"Rcpp, limma, DESeq"|"Rcpp, RcppArmadillo"|"testthat"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AcceptanceSampling"|"1.0-4"|NA|"methods, R(>= 2.4.0), stats"|"graphics, utils"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AcrossTic"|"1.0-3"|NA|"treeClust (>= 1.1-6), lpSolve"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Actigraphy"|"1.3.2"|NA|"R (>= 2.14.0), fda"|"SDMTools"|NA|"lattice"|NA|"Apache License (== 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ActuDistns"|"3.0"|NA|"R (>= 2.15.0), reliaR, actuar, hypergeo"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdMit"|"2.0.1"|NA|"mvtnorm"|NA|NA|"coda"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdapEnetClass"|"1.2"|NA|"imputeYn, glmnet, lars, quadprog, R (>= 3.0.2)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdaptFitOS"|"0.62"|NA|"nlme, MASS, splines"|"mgcv, SemiPar"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdaptFit"|"0.2-2"|NA|"SemiPar, MASS, nlme, cluster"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdaptGauss"|"1.2.4"|NA|"R (>= 2.10)"|"shiny, caTools, mclust, methods, ggplot2, grid"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdaptiveSparsity"|"1.4"|NA|"R (>= 3.0.2), Rcpp (>= 0.8.0)"|NA|"Rcpp, RcppArmadillo (>= 0.2.0)"|"MASS, Matrix"|NA|"LGPL (>= 3.0)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdequacyModel"|"2.0.0"|NA|NA|"methods, stats, graphics"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AdvBinomApps"|"1.0"|NA|"GenBinomApps, rootSolve"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AggregateR"|"0.0.2"|NA|NA|"dummy, stats, utils, methods"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Agreement"|"0.8-1"|NA|"R (>= 2.1.0), R2HTML"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AhoCorasickTrie"|"0.1.0"|NA|NA|"Rcpp (>= 0.12.5)"|"Rcpp"|"Biostrings, microbenchmark"|NA|"Apache License 2.0"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Ake"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AlgDesign"|"1.1-7.3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AlgebraicHaploPackage"|"1.2"|NA|"R (>= 3.1.3)"|NA|NA|"compiler"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AlignStat"|"1.3.1"|NA|"R (>= 2.10)"|"Rcpp (>= 0.11.6), seqinr, ggplot2, reshape2, tools, utils"|"Rcpp"|"testthat"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AllPossibleSpellings"|"1.1"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AlleleRetain"|"1.3.1"|NA|"R (>= 2.11.0)"|NA|NA|"pedigree"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Amelia"|"1.7.4"|NA|"R (>= 3.0.2), Rcpp (>= 0.11)"|"foreign, utils, grDevices, graphics, methods, stats"|"Rcpp (>= 0.11), RcppArmadillo"|"tcltk, Zelig"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AmericanCallOpt"|"0.95"|NA|"R (>= 2.0.0)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AmostraBrasil"|"1.2"|NA|"R (>= 3.1.3)"|"methods, RJSONIO, RCurl, stringr, sp, rgdal, foreign"|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AmpliconDuo"|"1.1"|NA|"R (>= 2.10), stats, ggplot2, xtable"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnDE"|"1.0"|NA|"R (>= 2.14.0),discretization, functional,foreign,stringr"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnalyzeFMRI"|"1.1-16"|NA|"tcltk, R.matlab, fastICA"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnalyzeTS"|"2.1"|NA|"MASS,TSA,TTR,tseries"|NA|NA|NA|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AncestryMapper"|"1.2"|NA|NA|NA|NA|"knitr"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnglerCreelSurveySimulation"|"0.2.1"|NA|"R (>= 3.0.2)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnnotLists"|"1.2"|NA|"tcltk"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AntAngioCOOL"|"1.2"|NA|"caret,rJava,RWeka,rpart, R(>= 2.10.0)"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AntWeb"|"0.7"|NA|"R (>= 3.0.1)"|"rjson, plyr, assertthat, httr, leafletR (>= 0.1-1)"|NA|NA|NA|"CC0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AnthropMMD"|"1.0.1"|NA|"R (>= 3.0.1), tcltk, tcltk2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Anthropometry"|"1.7"|NA|"R (>= 3.0.0)"|"shapes, rgl, archetypes, nnls, depth, FNN, ICGE, cluster,
biclust"|NA|"knitr, calibrate, mvtnorm, SportsAnalytics, RColorBrewer,
plotrix, abind"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ApacheLogProcessor"|"0.1.6"|NA|NA|"foreach, parallel, doParallel, utils"|NA|NA|NA|"LGPL-3 | file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AppliedPredictiveModeling"|"1.1-6"|NA|"R (>= 2.10)"|"CORElearn, MASS, plyr, reshape2"|NA|"caret (>= 6.0-22), lattice, ellipse"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"AquaEnv"|"1.0-4"|NA|"R (>= 2.15.0)"|"minpack.lm, graphics, grDevices, stats"|NA|"deSolve"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ArArRedux"|"0.2"|NA|"R (>= 3.0.2)"|"utils, stats, methods, graphics, grDevices"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ArDec"|"2.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
